All,Official Rank,Name,Country or Region,Team,Official,Age,New-comer,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11
132,,Liane Robinson,GBR,UN-6,N,O50,Y,479,75,25,90,40,35,14,30,20,150
133,82,Sara Martin,ITA,ITA-A,Y,,N,455,70,70,0,0,50,0,0,25,240
134,,Ekaterina Nuzhdina,RUS,UN-1,N,O50,N,434,0,35,75,0,65,4,70,25,160
135,,Nehir Boz,TUR,TUR-B,N,U18,Y,422,120,25,25,60,0,32,75,20,65
136,,Gao Jihong,CHN,UN-10,N,,Y,420,0,40,55,40,30,0,50,45,160
137,,Efe Alan,TUR,TUR-B,N,,Y,400,80,25,25,65,50,0,0,25,130
138,,Tigran Dhunjishaw Wadia,IND,UN-6,N,,Y,400,45,25,30,65,85,0,30,45,75
139,,Kentaro Shibata,JPN,UN-5,N,,Y,390,35,40,0,65,30,0,75,20,125
140,,Christian Romon,FRA,UN-7,N,O50,N,383,45,25,0,0,60,8,70,40,135
141,83,Kwon Hyuksun,KOR,KOR-A,Y,O50,N,374,0,40,0,0,80,4,30,0,220
142,,Liao Ran,CHN,UN-9,N,O50,N,345,45,40,75,50,0,0,70,0,65
143,,Pinyada Thanadechphithan,THA,UN-3,N,U18,Y,330,0,60,0,0,105,0,0,55,110
144,,Ross Atkins,NZL,UN-3,N,,Y,293,35,30,30,0,30,8,30,20,110
145,,Matthew Raymon Co,PHI,UN-2,N,,Y,255,0,10,30,40,0,0,45,0,130
146,,Virgi Puusepp,EST,EST-B,N,O50,N,240,0,25,55,60,0,0,0,25,75
147,,Hakan Erturan,TUR,TUR-B,N,O50,N,240,35,10,25,40,40,0,30,20,40
148,,Kang Hyunseo,KOR,,N,U18,Y,160,5,10,25,0,30,0,30,0,60
149,84,Jolanda Elena Reusser,SUI,SUI-A,Y,,Y,118,5,10,0,0,0,8,30,0,65
150,,Kersti Kivisoo,EST,EST-B,N,,Y,80,5,10,0,0,0,0,0,0,65
151,,Choi Hyeseung,KOR,,N,U18,Y,15,5,10,0,0,0,0,0,0,0
152,,Choi Eunseo,KOR,,N,U18,Y,0,0,0,0,0,0,0,0,0,0
