Rank,Off. rank,Play-off,Name,Country,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 8,Round 9,Total
95,65,,Matthias Reichmayr,Austria,UN-08,100,180,195,102,305,210,165,110,1367
96,66,,Čedomir Milanović,Serbia,SRB-A,95,215,270,150,155,160,200,115,1360
97,---,,Natália Chanová,Slovakia,SVK-C,160,150,165,215,315,135,220,0,1360
98,67,,Vladimir Portugalov,Belarus,UN-03,135,140,225,60,310,70,255,125,1320
99,---,,Marko Tanasić,Serbia,UN-04,30,180,205,158,320,160,210,50,1313
100,---,,Swaroop Srinivasrao Guggilam,India,UN-07,95,210,170,62,305,200,245,0,1287
101,---,,Petra Čičová,Czech Republic,CZE-C,165,250,165,92,165,145,185,115,1282
102,68,,Fatih Kamer Anda,Turkey,TUR-A,120,60,225,80,225,225,210,125,1270
103,69,,Ulla Elsilä,Finland,UN-02,105,175,125,225,315,155,170,0,1270
104,70,,Henning Kalsgaard Poulsen,Denmark,UN-02,180,185,190,68,260,135,185,50,1253
105,71,,Svilen Dyakovski,Bulgaria,BUL-A,130,155,185,0,290,180,260,50,1250
106,---,,Jens Mesarosch,Germany,GER-B,95,110,225,230,165,120,240,62,1247
107,72,,Vasso Kalaitzidou,Greece,GRE-A,145,195,95,132,365,240,25,50,1247
108,---,,Haruka Oishi,Japan,JPN-B,105,55,250,215,225,70,200,125,1245
109,---,,Tomasz Skalski,Poland,POL-B,90,125,170,215,210,190,120,125,1245
110,73,,Giulia Franceschini,Italy,ITA-A,120,85,185,144,285,135,185,100,1239
111,74,,Rick Uppelschoten,Netherlands,NED-A,95,185,190,0,270,130,235,125,1230
112,---,,Gerda Nádor,Hungary,UN-09,75,190,150,152,275,60,205,110,1217
113,---,,Petr Nepovím,Czech Republic,CZE-B,130,195,250,0,240,160,135,105,1215
114,75,,Roger Kohler,Switzerland,SUI-A,95,175,185,230,155,150,205,0,1195
115,---,,Matteo Testa,Italy,ITA-B,110,135,145,74,260,180,165,120,1189
116,---,,Jaan Laks,Estonia,EST-B,70,165,205,64,265,140,220,50,1179
117,76,,Michael Moßhammer,Austria,UN-08,70,185,190,118,290,125,130,50,1158
118,77,,Vittorio Schiavone,Italy,ITA-A,120,145,125,96,315,145,195,0,1141
119,---,,Colnaghi Daniele Antonio,Italy,ITA-C,125,160,145,0,275,175,205,50,1135
120,---,,Gaurav Kumar Jain,India,IND-B,60,115,125,0,340,145,220,130,1135
121,78,,Andrey Bogdanov,Russia,RUS-A,120,60,135,200,275,125,175,0,1090
