Rank,Official Rank,U18/O50,NEW,Name,Team,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11,R12
236,,,,Gábor Lőrincz,HUN-D,442,0,20,32,95,0,0,255,25,15,0
237,,O50,,Ľuboš Hyžák,UN-6,439,50,0,60,75,45,0,85,25,24,75
238,,O50,,Damir Vratković,CRO-D,437,0,20,20,63,0,70,129,25,20,90
239,,,NEW,Katarina Cvenić,CRO-C,429,0,10,40,110,30,35,76,30,23,75
240,,,,Monika Dobrinova,UN-11,417,50,15,40,75,75,0,62,25,15,60
241,,,,Vanda Bányainé Miklós,HUN-B,395,50,21,20,73,15,0,52,105,14,45
242,,,,Michaela Šaffová,CZE-D,379,50,10,20,35,15,35,122,0,62,30
243,,O50,,Esther Naef,UN-5,378,50,10,60,65,0,45,82,25,21,20
244,,U18,NEW,Karla Grgić,CRO-B,361,50,35,40,110,0,35,44,0,2,45
245,,,,Iakov Zaidelman,UN-8,336,50,9,0,65,15,80,95,0,22,0
246,,,,Kersti Kivisoo,UN-11,319,0,10,20,50,15,0,129,0,65,30
247,,,,Ekaterina Nuzhdina,UN-8,314,0,20,55,30,30,0,50,75,16,38
248,,O50,,Stipe Bratim,CRO-D,296,0,15,40,30,0,35,98,60,18,0
249,,,,Judit Adamisné Szánthó,HUN-C,291,0,10,20,0,0,0,133,50,3,75
250,105,O50,,Nariman Fataliyev,UN-9,119,0,20,20,0,30,0,19,0,0,30
251,106,,,Hyejin Chang,KOR-A,104,0,0,20,30,15,0,13,25,1,0
252,107,U18,NEW,Hyeokjoo Kwon,KOR-A,68,0,0,0,0,30,0,9,0,17,12
